massa_A
t,r,v
0.000000000E0,1.775749028E-3,
3.333333333E-2,2.630800243E-3,6.597865506E-2
6.666666667E-2,4.885071949E-3,8.517959156E-2
1.000000000E-1,7.944236567E-3,1.042519592E-1
1.333333333E-1,1.163559360E-2,1.161730836E-1
1.666666667E-1,1.551158798E-2,1.271306905E-1
2.000000000E-1,1.998928918E-2,
2.666666667E-1,2.951431642E-2,
3.000000000E-1,3.445557444E-2,1.494303076E-1
3.333333333E-1,3.947398151E-2,2.063735746E-1
3.666666667E-1,4.815031163E-2,2.251158626E-1
4.000000000E-1,5.442171047E-2,2.299063576E-1
4.333333333E-1,6.343799716E-2,2.544422816E-1
4.666666667E-1,7.138422746E-2,2.529820705E-1
5.000000000E-1,8.027611035E-2,2.619321649E-1
5.333333333E-1,8.884043176E-2,2.814106525E-1
5.666666667E-1,9.903682033E-2,3.001056457E-1
6.000000000E-1,1.088434209E-1,3.066060949E-1
6.333333333E-1,1.193060214E-1,3.179007767E-1
6.666666667E-1,1.298604655E-1,3.301510837E-1
7.000000000E-1,1.413153072E-1,3.377745271E-1
7.333333333E-1,1.523774843E-1,3.523923637E-1
7.666666667E-1,1.647958243E-1,3.616812961E-1
8.000000000E-1,1.764459330E-1,3.587896519E-1
8.333333333E-1,1.887039438E-1,3.664518420E-1
8.666666667E-1,2.008755488E-1,3.576559598E-1
9.000000000E-1,2.125475793E-1,3.727840519E-1
9.333333333E-1,2.256406915E-1,4.174683040E-1
9.666666667E-1,2.403735435E-1,4.234561825E-1
1.000000000E0,2.537285361E-1,
1.066666667E0,2.806315582E-1,
1.100000000E0,2.939101236E-1,4.303384718E-1
1.133333333E0,3.090588923E-1,4.561499907E-1
1.166666667E0,3.243200216E-1,4.557355250E-1
1.200000000E0,3.392179011E-1,4.565793931E-1
1.233333333E0,3.547567254E-1,4.695335156E-1
1.266666667E0,3.705161091E-1,4.794635785E-1
1.300000000E0,3.865181991E-1,4.943874729E-1
1.333333333E0,4.034752280E-1,4.934897284E-1
1.366666667E0,4.194086516E-1,4.852185649E-1
1.400000000E0,4.357965220E-1,4.824725031E-1
1.433333333E0,4.514164079E-1,
