massa_A
t,x,y
0.000000000E0,1.110223025E-16,-9.155515769E-4
3.333333333E-2,-1.133911714E-3,-9.438164249E-4
6.666666667E-2,-3.104308970E-3,-1.117644326E-3
1.000000000E-1,-5.777798477E-3,-1.355860104E-3
1.333333333E-1,-9.482011682E-3,-1.602597822E-3
1.666666667E-1,-1.374564862E-2,-1.915203489E-3
2.000000000E-1,-1.887215823E-2,-2.150011975E-3
2.333333333E-1,-2.432554052E-2,-2.866206524E-3
2.666666667E-1,-3.021320204E-2,-4.577757884E-3
3.000000000E-1,-3.706470952E-2,-4.100334051E-3
3.333333333E-1,-4.394647569E-2,-5.493309461E-3
3.666666667E-1,-5.218643988E-2,-6.408861038E-3
4.000000000E-1,-6.086194940E-2,-7.256576249E-3
4.333333333E-1,-7.167401156E-2,-6.075551480E-3
4.666666667E-1,-8.239964192E-2,-1.007106735E-2
5.000000000E-1,-9.430181242E-2,-1.190217050E-2
5.333333333E-1,-1.071195345E-1,-1.281772208E-2
5.666666667E-1,-1.199372566E-1,-1.556437681E-2
6.000000000E-1,-1.336705302E-1,-1.647992838E-2
6.666666667E-1,-1.528971133E-1,-1.922658311E-2
7.000000000E-1,-1.693770417E-1,-1.922658311E-2
7.333333333E-1,-1.839177721E-1,-2.082562744E-2
7.666666667E-1,-2.014213469E-1,-2.105768627E-2
8.000000000E-1,-2.169857237E-1,-2.380434100E-2
8.333333333E-1,-2.352967553E-1,-2.563544415E-2
9.000000000E-1,-2.669848090E-1,-2.323425421E-2
9.333333333E-1,-2.882901028E-1,-3.041404869E-2
9.666666667E-1,-3.044087086E-1,-3.192405501E-2
1.033333333E0,-3.414695351E-1,-2.971694541E-2
1.066666667E0,-3.648070481E-1,-3.777441856E-2
1.100000000E0,-3.827005591E-1,-3.845316623E-2
1.166666667E0,-4.250757977E-1,-4.354858149E-2
1.200000000E0,-4.460369218E-1,-3.899489006E-2
