massa_A
t,r,v
0.000000000E0,6.747305945E-3,
6.666666667E-2,5.374317206E-2,
1.000000000E-1,9.355895194E-2,1.353427298E0
1.333333333E-1,1.439404198E-1,1.673833299E0
1.666666667E-1,2.051422929E-1,2.013944767E0
2.000000000E-1,2.781985510E-1,2.323274952E0
2.333333333E-1,3.600216542E-1,2.697998494E0
2.666666667E-1,4.580527159E-1,3.065966473E0
3.000000000E-1,5.643951919E-1,3.388006395E0
3.333333333E-1,6.839183094E-1,3.783387155E0
3.666666667E-1,8.166192958E-1,4.108157671E0
4.000000000E-1,9.577942192E-1,4.490891596E0
4.333333333E-1,1.116012068E0,
