massa_A
t,x
0.000000000E0,8.291970803E-1
3.333333333E-2,-1.084262303E1
6.666666667E-2,-1.940096211E1
1.000000000E-1,-2.736350365E1
1.333333333E-1,-3.538026077E1
1.666666667E-1,-4.432648454E1
2.000000000E-1,-5.237933675E1
2.333333333E-1,-6.053138686E1
2.666666667E-1,-6.865874579E1
3.000000000E-1,-7.628613139E1
3.333333333E-1,-8.393085610E1
3.666666667E-1,-8.872408759E1
4.000000000E-1,-9.573965200E1
4.333333333E-1,-1.034354546E2
4.666666667E-1,-1.106124859E2
5.000000000E-1,-1.194043796E2
5.333333333E-1,-1.256282382E2
5.666666667E-1,-1.326715328E2
6.000000000E-1,-1.394369669E2
6.333333333E-1,-1.454338414E2
6.666666667E-1,-1.503915883E2
7.000000000E-1,-1.568718367E2
7.333333333E-1,-1.627475526E2
7.666666667E-1,-1.665668625E2
8.000000000E-1,-1.741313869E2
8.333333333E-1,-1.794765649E2
8.666666667E-1,-1.851738363E2
9.000000000E-1,-1.918909604E2
9.333333333E-1,-1.970767920E2
9.666666667E-1,-2.017729000E2
1.000000000E0,-2.059962953E2
1.033333333E0,-2.104557328E2
1.066666667E0,-2.136854587E2
1.100000000E0,-2.190225523E2
1.133333333E0,-2.238857764E2
1.166666667E0,-2.338335766E2
1.200000000E0,-2.384340843E2
1.233333333E0,-2.446131387E2
1.266666667E0,-2.490807584E2
1.300000000E0,-2.538398715E2
1.333333333E0,-2.584568194E2
1.366666667E0,-2.627091715E2
1.400000000E0,-2.664879564E2
1.433333333E0,-2.702648404E2
1.466666667E0,-2.739809386E2
1.500000000E0,-2.775976776E2
1.533333333E0,-2.817094780E2
1.566666667E0,-2.861147896E2
1.600000000E0,-2.904101531E2
1.633333333E0,-2.939205456E2
1.666666667E0,-2.972982231E2
1.700000000E0,-3.004000228E2
1.733333333E0,-3.035267460E2
1.766666667E0,-3.066306024E2
1.800000000E0,-3.098355678E2
1.833333333E0,-3.131321308E2
1.866666667E0,-3.166276792E2
1.900000000E0,-3.195693142E2
1.933333333E0,-3.219937558E2
1.966666667E0,-3.240820444E2
2.000000000E0,-3.257926601E2
2.033333333E0,-3.276625632E2
2.066666667E0,-3.295633747E2
2.100000000E0,-3.313466967E2
2.133333333E0,-3.332451866E2
2.166666667E0,-3.351848068E2
2.200000000E0,-3.372991784E2
2.233333333E0,-3.394328870E2
2.266666667E0,-3.416647177E2
2.300000000E0,-3.438193667E2
2.333333333E0,-3.458973613E2
2.366666667E0,-3.479354641E2
2.400000000E0,-3.497583347E2
2.433333333E0,-3.514303335E2
2.466666667E0,-3.528082838E2
2.500000000E0,-3.536997465E2
2.533333333E0,-3.544283411E2
2.566666667E0,-3.547836451E2
